Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Event,4,0.71,31,4.60,1,3.23,25.00,5.71
Nationalities_or_Religious_or_Political_Groups,18,3.21,34,5.04,10,29.41,55.56,38.46
Cardinal,28,5.00,6,0.89,3,50.00,10.71,17.65
Ordinal,13,2.32,2,0.30,1,50.00,7.69,13.33
Percent,5,0.89,4,0.59,2,50.00,40.00,44.44
Law,0,0.00,1,0.15,0,0.00,0.00,0.00
Location,8,1.43,73,10.83,5,6.85,62.50,12.35
Language,1,0.18,7,1.04,1,14.29,100.00,25.00
Time,1,0.18,10,1.48,1,10.00,100.00,18.18
Countries_Cities_State,113,20.18,72,10.68,65,90.28,57.52,70.27
Product,0,0.00,12,1.78,0,0.00,0.00,0.00
Person,218,38.93,253,37.54,156,61.66,71.56,66.24
Work_Of_Art,8,1.43,29,4.30,3,10.34,37.50,16.22
Facility,9,1.61,27,4.01,0,0.00,0.00,0.00
Organization,65,11.61,64,9.50,22,34.38,33.85,34.11
Money,7,1.25,11,1.63,7,63.64,100.00,77.78
Date,58,10.36,30,4.45,21,70.00,36.21,47.73
Quantity,4,0.71,8,1.19,2,25.00,50.00,33.33
ToTal,560,100,674,100,300,44.51,53.57,48.62
