Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Event,4,0.49,31,4.19,1,3.23,25.00,5.71
Nationalities_or_Religious_or_Political_Groups,28,3.46,39,5.27,10,25.64,35.71,29.85
Cardinal,63,7.79,9,1.22,4,44.44,6.35,11.11
Ordinal,20,2.47,0,0.00,0,0.00,0.00,0.00
Percent,6,0.74,4,0.54,2,50.00,33.33,40.00
Law,1,0.12,10,1.35,0,0.00,0.00,0.00
Location,10,1.24,80,10.81,5,6.25,50.00,11.11
Language,1,0.12,4,0.54,0,0.00,0.00,0.00
Time,1,0.12,12,1.62,1,8.33,100.00,15.38
Countries_Cities_State,138,17.06,73,9.86,69,94.52,50.00,65.40
Product,0,0.00,13,1.76,0,0.00,0.00,0.00
Person,321,39.68,281,37.97,170,60.50,52.96,56.48
Work_Of_Art,16,1.98,30,4.05,3,10.00,18.75,13.04
Facility,9,1.11,29,3.92,0,0.00,0.00,0.00
Organization,77,9.52,69,9.32,22,31.88,28.57,30.14
Money,20,2.47,21,2.84,18,85.71,90.00,87.80
Date,89,11.00,28,3.78,21,75.00,23.60,35.90
Quantity,5,0.62,7,0.95,1,14.29,20.00,16.67
ToTal,809,100,740,100,327,44.19,40.42,42.22
