Type,Gold count,Gold rate,Pred count,Pred rate,Correct count,Prec,Rec,F1
Event,4,0.49,29,4.13,1,3.45,25.00,6.06
Nationalities_or_Religious_or_Political_Groups,28,3.46,35,4.98,10,28.57,35.71,31.75
Cardinal,63,7.79,8,1.14,4,50.00,6.35,11.27
Ordinal,20,2.47,0,0.00,0,0.00,0.00,0.00
Percent,6,0.74,4,0.57,2,50.00,33.33,40.00
Law,1,0.12,8,1.14,0,0.00,0.00,0.00
Location,10,1.24,75,10.67,5,6.67,50.00,11.76
Language,1,0.12,4,0.57,0,0.00,0.00,0.00
Time,1,0.12,10,1.42,1,10.00,100.00,18.18
Countries_Cities_State,138,17.06,69,9.82,66,95.65,47.83,63.77
Product,0,0.00,12,1.71,0,0.00,0.00,0.00
Person,321,39.68,278,39.54,170,61.15,52.96,56.76
Work_Of_Art,16,1.98,25,3.56,3,12.00,18.75,14.63
Facility,9,1.11,26,3.70,0,0.00,0.00,0.00
Organization,77,9.52,66,9.39,22,33.33,28.57,30.77
Money,20,2.47,20,2.84,18,90.00,90.00,90.00
Date,89,11.00,28,3.98,21,75.00,23.60,35.90
Quantity,5,0.62,6,0.85,1,16.67,20.00,18.18
ToTal,809,100,703,100,324,46.09,40.05,42.86
